id,old_name,new_name
1,bulbasaur,フシギダネ
2,ivysaur,フシギソウ
3,venusaur,フシギバナ
4,charmander,ヒトカゲ
5,charmeleon,リザード
6,charizard,リザードン
7,squirtle,ゼニガメ
8,wartortle,カメール
9,blastoise,カメックス
10,caterpie,キャタピー
11,metapod,トランセル
12,butterfree,バタフリー
13,weedle,ビードル
14,kakuna,コクーン
15,beedrill,スピアー
16,pidgey,ポッポ
17,pidgeotto,ピジョン
18,pidgeot,ピジョット
19,rattata,コラッタ
20,raticate,ラッタ
21,spearow,オニスズメ
22,fearow,オニドリル
23,ekans,アーボ
24,arbok,アーボック
25,pikachu,ピカチュウ
26,raichu,ライチュウ
27,sandshrew,サンド
28,sandslash,サンドパン
29,nidoran♀,ニドラン♀
30,nidorina,ニドリーナ
31,nidoqueen,ニドクイン
32,nidoran♂,ニドラン♂
33,nidorino,ニドリーノ
34,nidoking,ニドキング
35,clefairy,ピッピ
36,clefable,ピクシー
37,vulpix,ロコン
38,ninetales,キュウコン
39,jigglypuff,プリン
40,wigglytuff,プクリン
41,zubat,ズバット
42,golbat,ゴルバット
43,oddish,ナゾノクサ
44,gloom,クサイハナ
45,vileplume,ラフレシア
46,paras,パラス
47,parasect,パラセクト
48,venonat,コンパン
49,venomoth,モルフォン
50,diglett,ディグダ
51,dugtrio,ダグトリオ
52,meowth,ニャース
53,persian,ペルシアン
54,psyduck,コダック
55,golduck,ゴルダック
56,mankey,マンキー
57,primeape,オコリザル
58,growlithe,ガーディ
59,arcanine,ウインディ
60,poliwag,ニョロモ
61,poliwhirl,ニョロゾ
62,poliwrath,ニョロボン
63,abra,ケーシィ
64,kadabra,ユンゲラー
65,alakazam,フーディン
66,machop,ワンリキー
67,machoke,ゴーリキー
68,machamp,カイリキー
69,bellsprout,マダツボミ
70,weepinbell,ウツドン
71,victreebel,ウツボット
72,tentacool,メノクラゲ
73,tentacruel,ドククラゲ
74,geodude,イシツブテ
75,graveler,ゴローン
76,golem,ゴローニャ
77,ponyta,ポニータ
78,rapidash,ギャロップ
79,slowpoke,ヤドン
80,slowbro,ヤドラン
81,magnemite,コイル
82,magneton,レアコイル
83,farfetch'd,カモネギ
84,doduo,ドードー
85,dodrio,ドードリオ
86,seel,パウワウ
87,dewgong,ジュゴン
88,grimer,ベトベター
89,muk,ベトベトン
90,shellder,シェルダー
91,cloyster,パルシェン
92,gastly,ゴース
93,haunter,ゴースト
94,gengar,ゲンガー
95,onix,イワーク
96,drowzee,スリープ
97,hypno,スリーパー
98,krabby,クラブ
99,kingler,キングラー
100,voltorb,ビリリダマ
101,electrode,マルマイン
102,exeggcute,タマタマ
103,exeggutor,ナッシー
104,cubone,カラカラ
105,marowak,ガラガラ
106,hitmonlee,サワムラー
107,hitmonchan,エビワラー
108,lickitung,ベロリンガ
109,koffing,ドガース
110,weezing,マタドガス
111,rhyhorn,サイホーン
112,rhydon,サイドン
113,chansey,ラッキー
114,tangela,モンジャラ
115,kangaskhan,ガルーラ
116,horsea,タッツー
117,seadra,シードラ
118,goldeen,トサキント
119,seaking,アズマオウ
120,staryu,ヒトデマン
121,starmie,スターミー
122,mr. mime,バリヤード
123,scyther,ストライク
124,jynx,ルージュラ
125,electabuzz,エレブー
126,magmar,ブーバー
127,pinsir,カイロス
